City,Latitude,Temperature,Humidity (%),Wind Speed (mph),Cloudiness (%)
kuusamo,65.97,53.6,87,9.17,75
beira,-19.84,64.2,82,3.36,0
rafai,4.95,68.74,97,1.14,100
bagan,54.1,82.96,52,12.93,0
hermanus,-34.42,46.0,89,1.01,78
korla,41.76,88.97,15,8.97,100
cape town,-33.93,49.44,66,8.05,75
quatre cocos,-20.21,77.0,69,20.8,40
jamestown,42.1,59.45,82,5.82,1
batsfjord,70.63,44.15,87,8.05,75
springdale,36.19,72.27,78,3.36,1
bedele,8.46,63.01,82,3.18,99
rodionovo-nesvetayskaya,47.61,72.72,83,6.71,40
tabuny,52.78,81.68,45,11.36,17
tabuk,17.42,87.48,66,2.21,27
puerto cabezas,14.04,78.06,90,8.5,54
grand gaube,-20.01,77.0,66,7.0,0
kathmandu,27.72,75.2,88,6.93,75
goderich,43.75,64.11,72,5.03,0
ushuaia,-54.8,32.0,90,9.17,40
cayenne,4.93,75.2,100,6.24,11
sao felix do xingu,-6.64,67.17,61,0.83,0
saint-philippe,-21.36,73.94,61,4.7,40
maceio,-9.67,69.8,100,4.7,40
bredasdorp,-34.53,46.4,93,16.11,100
port alfred,-33.59,54.12,59,36.95,94
namibe,-15.2,68.31,64,1.3,0
georgetown,5.41,87.4,74,6.93,20
saldanha,-33.01,48.2,68,5.82,75
san pedro,14.35,93.38,63,5.99,61
eurajoki,61.2,62.6,63,8.05,0
vila velha,-20.33,64.4,93,2.24,0
busselton,-33.65,56.73,49,15.14,0
narsaq,60.92,46.4,81,3.36,100
chapais,49.78,62.6,77,9.17,90
nicoya,10.15,74.1,91,3.18,61
yar-sale,66.83,59.05,48,20.98,87
hofn,64.25,51.15,78,5.39,100
eydhafushi,5.1,84.54,66,2.15,100
pachino,36.72,80.01,79,6.31,0
nador,35.17,74.39,83,6.93,75
bafoulabe,13.81,74.98,87,2.21,100
ponta do sol,32.67,67.48,77,4.43,6
koslan,63.46,56.21,95,9.08,100
barvinkove,48.91,67.41,83,10.96,76
upata,8.01,70.18,97,3.6,100
east london,-33.02,57.2,47,18.34,0
chaykovskaya,58.13,87.8,45,6.71,0
sur,22.57,95.88,43,9.01,0
dingle,11.0,89.2,62,4.52,14
asyut,27.18,78.8,47,4.7,0
paracuru,-3.41,73.99,81,1.99,0
mocuba,-16.84,71.65,62,3.11,0
mar del plata,-38.0,39.06,69,10.29,40
hithadhoo,-0.6,85.24,65,4.63,95
aktau,43.65,88.66,38,12.28,0
arraial do cabo,-22.97,72.0,72,6.73,0
kudahuvadhoo,2.67,84.67,65,3.53,64
varhaug,58.61,55.35,99,1.99,100
sisimiut,66.94,42.48,85,7.31,19
tallahassee,30.44,79.7,88,3.36,75
adrar,20.5,88.74,30,15.43,0
loknya,56.83,63.19,57,7.29,100
husavik,66.04,50.0,93,2.24,90
marsa matruh,31.35,75.2,83,10.29,0
boende,-0.22,73.56,85,1.83,100
laurinburg,34.77,73.15,94,2.37,1
lebu,-37.62,46.74,76,3.27,0
upernavik,72.79,40.23,88,22.44,100
olafsvik,64.89,51.64,85,3.98,100
tasiilaq,65.61,41.0,86,9.17,0
ndola,-12.96,66.51,47,6.4,0
portree,57.41,52.0,91,1.01,100
rio negrinho,-26.25,50.0,94,5.99,84
necochea,-38.55,36.0,84,3.0,99
general delgado,-27.17,43.93,89,6.08,0
kruisfontein,-34.0,48.96,74,26.19,100
abyek,36.07,81.43,47,6.93,40
riyadh,24.69,102.2,13,9.17,25
leshukonskoye,64.9,53.28,96,8.46,100
nuuk,64.18,39.2,93,3.36,100
ponnani,10.77,86.0,66,10.29,40
dikson,73.51,38.91,96,14.9,100
edea,3.8,75.2,100,2.24,75
plettenberg bay,-34.05,50.4,76,18.7,100
clyde river,70.47,51.8,62,2.24,90
caraquet,47.79,56.62,93,6.93,90
gusau,12.16,74.71,81,15.64,28
henties bay,-22.12,52.0,94,5.17,0
longyearbyen,78.22,44.6,87,6.93,75
matagami,49.75,50.0,93,2.24,1
santo tomas,14.11,92.75,63,5.99,96
sumbe,-11.21,71.6,77,1.25,90
kalabo,-14.97,60.84,31,6.29,0
anori,-3.77,71.64,97,1.1,1
filadelfia,39.95,72.37,53,6.93,20
andenes,69.31,55.4,87,3.36,40
abu kamal,34.45,94.51,27,11.25,0
venado tuerto,-33.75,35.33,71,3.6,0
mahebourg,-20.41,77.0,69,20.8,40
mangai,-4.05,78.26,68,3.2,25
victoria,22.29,93.81,56,8.99,0
codrington,-38.27,53.01,79,7.16,88
bathsheba,13.22,80.6,83,12.75,40
kemi,65.86,55.4,93,4.7,20
juba,4.85,79.34,71,4.56,57
punta arenas,-53.15,33.39,88,4.7,87
najran,17.49,93.2,24,4.7,0
pacayas,9.81,66.87,82,6.93,66
viedma,-40.81,38.39,75,10.56,0
chimbote,-9.09,60.22,90,5.01,7
qaanaaq,77.48,40.15,76,3.74,94
kasempa,-13.46,66.16,45,7.67,0
kulhudhuffushi,6.62,84.94,69,6.42,94
la sarre,48.8,54.27,87,4.76,0
vardo,70.37,46.4,75,10.29,75
cidreira,-30.18,47.1,65,14.72,0
saint-pierre,-21.34,74.48,61,4.7,8
hambantota,6.12,93.2,59,12.75,40
berlevag,70.86,45.07,81,6.93,75
woensdrecht,51.42,61.2,77,8.05,90
beirut,33.89,79.57,74,5.82,40
kavaratti,10.57,82.4,88,9.17,90
jalu,29.03,81.21,40,9.75,0
salgueiro,-8.07,65.52,92,5.59,0
tiznit,29.58,75.29,53,2.13,0
belyy yar,53.6,73.4,69,11.18,75
iqaluit,63.75,50.0,71,6.93,20
coventry,52.41,58.05,82,8.05,40
bengkulu,-3.8,85.28,67,8.77,100
cabedelo,-6.98,74.01,78,7.61,9
vila franca do campo,37.72,64.4,82,5.82,20
saurimo,-9.66,69.71,30,9.1,94
rawson,-43.3,35.2,82,12.3,0
kayerkan,69.35,55.4,76,13.42,75
tabas,33.6,100.4,15,2.3,40
tombouctou,20.0,93.88,25,15.01,0
lagoa,39.05,67.93,77,5.28,27
saint-michel-des-saints,46.68,63.0,8,4.61,39
chamalieres,45.78,60.8,59,3.36,95
los llanos de aridane,28.66,69.8,77,13.87,75
puerto del rosario,28.5,69.8,83,12.75,20
ribeira grande,38.52,68.0,77,6.93,75
laguna,38.42,65.44,68,8.05,1
taiobeiras,-15.81,57.63,98,0.89,100
mpwapwa,-6.35,73.04,49,8.12,2
tabou,4.42,75.25,85,11.79,100
praia,14.92,78.8,83,4.7,75
bolu,40.67,62.46,77,4.45,78
neyveli,11.54,94.91,43,8.19,100
timizart,36.8,75.74,57,3.24,0
halmstad,56.67,59.81,77,6.93,100
mykolayivka,47.54,66.51,57,17.78,25
ancud,-41.87,36.3,100,2.24,100
panjab,34.39,74.01,20,5.12,4
japura,-0.32,76.1,90,2.68,100
morristown,36.21,66.78,77,2.64,1
saint george,37.1,88.56,16,5.82,1
port elizabeth,-33.92,53.38,68,29.08,100
ilulissat,69.22,42.8,87,9.17,100
bell ville,-32.63,38.73,67,4.54,0
caravelas,-17.71,67.77,93,3.38,100
luderitz,-26.65,53.6,66,17.22,0
naberera,-4.2,66.22,61,11.86,17
tsivilsk,55.86,84.2,42,11.18,0
kaliua,-5.06,72.23,46,8.86,0
velikiy ustyug,60.76,72.57,76,7.09,100
torbay,47.67,63.21,93,6.93,75
krasnoselkup,65.7,53.83,66,19.64,100
ippy,6.27,70.99,95,5.5,100
cap malheureux,-19.98,77.0,66,7.0,0
paita,-5.09,62.58,87,9.42,100
pisco,-13.7,59.43,93,0.94,90
trincomalee,8.57,89.01,65,11.77,100
nouadhibou,20.93,69.01,88,20.15,0
souillac,-20.52,77.0,69,20.8,40
sistranda,63.73,57.61,62,6.93,100
pasni,25.26,85.06,73,11.72,0
dekar,-21.53,52.99,35,9.6,0
lavumisa,-27.31,64.74,41,6.2,0
shelburne,44.08,62.08,88,2.24,90
itarema,-2.92,74.01,86,11.59,0
kapiri mposhi,-13.97,65.73,47,6.44,0
thinadhoo,0.53,85.55,63,4.68,0
ulu-telyak,54.91,88.36,46,4.59,7
alenquer,-1.94,75.2,94,3.36,58
maiduguri,11.85,82.45,62,15.37,64
iguape,-24.71,64.63,92,12.66,100
vilhena,-12.74,69.46,79,1.68,15
sorland,67.67,53.6,81,66.66,9
belmonte,-15.86,68.0,94,2.24,100
calama,-22.47,42.8,5,20.8,0
camacha,33.08,68.0,82,13.87,75
alta floresta,-9.88,70.48,56,3.4,33
akdepe,42.06,97.7,19,13.87,0
guidonia,42.02,68.0,68,1.12,0
kadom,54.56,79.09,73,10.56,97
rocha,-34.48,37.63,76,11.27,0
kalmunai,7.42,91.9,54,5.59,100
lumeje,-11.55,64.85,31,8.61,1
caxito,-8.58,68.0,100,1.12,75
nova olimpia,-14.8,70.72,57,0.34,4
riohacha,11.54,78.76,83,9.89,15
gobabis,-22.45,32.0,40,2.24,0
barretos,-20.56,70.09,57,5.41,16
dudinka,69.41,55.4,76,13.42,75
saint-francois,46.42,59.0,67,4.5,49
domoni,-12.26,77.95,66,8.68,8
nkhata bay,-11.61,72.55,61,6.82,8
marsh harbour,26.54,83.08,78,10.89,71
vale,41.62,75.2,78,5.82,75
digha,21.68,83.08,85,15.3,100
marovoay,-16.1,80.6,44,10.29,0
hobyo,5.35,83.3,62,23.51,100
pedana,16.27,87.8,74,6.93,75
cozumel,20.51,78.37,83,4.7,5
vestmannaeyjar,63.44,50.0,93,14.99,90
bambous virieux,-20.34,77.0,69,20.8,40
den helder,52.96,60.93,87,9.17,75
veranopolis,-28.94,38.46,100,0.96,0
wilmington island,32.0,78.85,83,6.93,1
tigzirt,36.89,76.39,69,5.66,0
fenoarivo,-18.93,59.0,87,2.24,20
conde,-7.26,69.96,88,4.23,20
turrialba,9.9,66.85,82,6.93,71
djougou,9.71,73.4,83,9.17,75
atasu,48.68,82.54,31,16.98,0
tshikapa,-6.42,83.84,42,1.79,66
balkanabat,39.51,100.02,20,4.43,7
huacho,-11.11,60.12,88,6.91,10
roald,62.58,55.42,76,2.24,75
intipuca,13.2,74.53,93,3.65,34
bossangoa,6.49,69.8,97,4.38,100
tarata,-17.62,44.6,83,2.75,1
castro,-24.79,59.79,95,3.78,97
banda aceh,5.56,84.74,71,7.14,40
iranshahr,27.2,100.4,29,6.93,0
ekangala,-25.7,41.0,75,5.01,0
lasa,46.62,51.8,93,2.24,40
tahta,26.77,81.63,37,8.05,0
stornoway,58.21,53.35,87,10.29,75
chuy,-33.7,36.36,80,10.89,0
talara,-4.58,64.65,83,14.14,97
joacaba,-27.18,44.85,87,0.49,0
ostrovnoy,68.05,51.58,68,8.3,26
maniitsoq,65.42,43.12,85,10.96,64
avanigadda,16.02,87.8,74,6.93,75
ludenscheid,51.22,63.01,65,1.01,44
iquitos,-3.75,71.02,98,0.49,22
belaya kholunitsa,58.84,77.86,71,8.61,100
marienburg,54.04,60.08,72,4.7,0
