City,Latitude,Longitude,Temperature,Humidity (%),Wind Speed (mph),Cloudiness (%),Country
Kavieng,-2.57,150.8,85.39,66,5.41,10,PG
Punta Arenas,-53.15,-70.92,29.05,86,4.7,0,CL
Port Alfred,-33.59,26.89,56.28,39,6.98,0,ZA
Nikolskoye,59.7,30.79,56.28,87,4.47,100,RU
Lázaro Cárdenas,17.96,-102.2,81.34,84,0.51,73,MX
Bela,25.93,81.98,92.41,57,8.77,1,IN
Tsimmerbude,54.67,20.13,59.0,100,2.24,40,RU
Rikitea,-23.12,-134.97,73.69,81,4.74,100,PF
Boa Vista,2.82,-60.67,80.6,78,3.36,20,BR
Bluff,-46.6,168.33,39.0,83,3.0,39,NZ
Busselton,-33.65,115.33,52.32,96,18.21,63,AU
San Andrés,12.58,-81.7,82.4,78,10.29,40,CO
Geraldton,-28.77,114.6,62.6,55,19.46,40,AU
Hambantota,6.12,81.12,84.2,74,12.75,40,LK
Mataura,-46.19,168.86,39.0,83,3.0,32,NZ
Port Macquarie,-31.43,152.92,61.36,72,17.22,90,AU
Cherskiy,68.75,161.3,58.96,43,10.2,0,RU
Arraial do Cabo,-22.97,-42.03,64.4,82,5.82,20,BR
Fuxin,42.02,121.66,90.0,42,15.21,97,CN
Igrim,63.19,64.42,65.25,94,4.72,100,RU
Atuona,-9.8,-139.03,79.72,76,17.52,6,PF
Sandwick,60.0,-1.25,51.8,100,14.99,100,GB
Bengkulu,-3.8,102.27,82.94,73,6.55,43,ID
Mbuji-Mayi,-6.15,23.6,70.25,32,7.07,24,CD
Ushuaia,-54.8,-68.3,28.4,74,4.7,0,AR
Hermanus,-34.42,19.23,44.01,89,1.99,0,ZA
Gorin,51.2,136.67,79.81,68,2.33,99,RU
Vaitape,-16.52,-151.75,78.4,79,10.94,5,PF
Torbay,47.67,-52.73,48.4,100,18.34,90,CA
Maragogi,-9.01,-35.22,74.44,78,10.51,71,BR
Matagami,49.75,-77.63,64.4,88,3.36,1,CA
Qaanaaq,77.48,-69.36,43.07,74,3.38,55,GL
Talnakh,69.49,88.4,50.0,76,20.13,75,RU
Tasiilaq,65.61,-37.64,44.6,65,12.75,3,GL
Zhezkazgan,47.8,67.71,77.0,27,13.42,3,KZ
Lebu,-37.62,-73.65,52.86,91,22.26,100,CL
Khatanga,71.97,102.5,46.08,75,19.19,100,RU
Port Elizabeth,-33.92,25.57,42.8,93,2.24,0,ZA
Vanimo,-2.67,141.3,82.9,78,3.04,42,PG
Hilo,19.73,-155.09,78.19,66,10.29,90,US
Atbasar,51.8,68.33,73.99,57,13.98,100,KZ
Pisco,-13.7,-76.22,60.46,82,11.41,90,PE
Te Anau,-45.42,167.72,44.62,59,0.51,68,NZ
Nuuk,64.18,-51.72,51.8,76,9.17,23,GL
Hobart,-42.88,147.33,49.86,61,8.05,20,AU
Dunedin,-45.87,170.5,45.77,63,1.01,25,NZ
Leh,34.17,77.58,61.11,35,5.61,2,IN
Saint-Pierre,-21.34,55.48,58.53,82,5.82,75,RE
Saint Paul Harbor,57.79,-152.41,57.2,82,6.93,90,US
George Town,5.41,100.34,83.07,78,2.24,20,MY
Avarua,-21.21,-159.78,73.4,64,9.17,97,CK
Ilulissat,69.22,-51.1,48.2,70,2.24,91,GL
Albany,42.6,-73.97,65.57,83,1.01,100,US
Shumikha,55.23,63.3,73.76,71,7.09,0,RU
East London,-33.02,27.91,56.88,36,4.79,0,ZA
New Norfolk,-42.78,147.06,46.6,82,1.01,0,AU
